"pol"	"place"	"time1"	"time2"	"PolPop_CC1"	"PolTerr_CC2"	"CapPol_CC3"	"HComplex_CC4_agg"	"Gov_CC5_agg"	"Infrastr_CC6_agg"	"InfoSys_CC7_agg"	"Texts_CC8_agg"	"Money_CC9_agg"
"Deccan -205 -101"	"Deccan"	-205	-101	14965144.9772727	1720265.20347003	170408.662280702	3.63010731251393	0.650125956201041	0.801492389489237	0.793451808339412	0.642525218529877	0.66644918949531
"Deccan -2700 -1201"	"Deccan"	-2700	-1201	14965144.9772727	1720265.20347003	170408.662280702	3.39639720613096	0.380941326839619	0.790792222115956	0.581305817414562	0	0.166666666666667
"Deccan -300 -206"	"Deccan"	-300	-206	1.8e+07	4e+06	50000	5.25	0.763504611330698	1	0.827699018538713	0.900678294573643	0.77
"Deccan 1192 1253"	"Deccan"	1192	1253	14965144.9772727	150000	170408.662280702	3.125	0.786690011052747	0.801492389489237	0.680299781197258	0.917047342192691	0.734440907921811
"Deccan 1280 1310"	"Deccan"	1280	1310	14965144.9772727	20000	170408.662280702	3	0.791547454989378	0.722488060484908	0.776347360201594	0.874303089319128	0.671107574588477
"Deccan 1337 1646"	"Deccan"	1337	1646	2.5e+07	360000	175000	3.625	0.865852761014051	0.988967691095351	0.776347360201594	0.871053276910792	0.749296875
"Deccan 1687 1720"	"Deccan"	1687	1720	1.3e+08	3850000	4e+05	4.5	0.980371900826446	0.97983131646498	0.827699018538713	0.918863179074447	0.800130208333333
"Deccan 1780 1840"	"Deccan"	1780	1840	107500000	22700000	3700000	7.3717008797654	0.865852761014051	1	0.851595820661322	1	0.898805156573499
"Deccan 286 335"	"Deccan"	286	335	6500000	950000	170408.662280702	4.25	0.77494367010496	0.700010588747572	0.776347360201594	0.952761627906977	0.671107574588477
"Deccan 451 540"	"Deccan"	451	540	725000	75000	170408.662280702	4.125	0.654015068738239	0.811866695318089	0.776347360201594	0.854684229291744	0.671107574588477
"Deccan 541 756"	"Deccan"	541	756	3525000	750000	70000	5.125	0.811175554162931	0.853928649338746	0.757077108527638	0.866208315670482	0.671107574588477
"Deccan 757 973"	"Deccan"	757	973	5500000	6e+05	1e+05	5	0.75516508436653	0.906293662942437	0.757077108527638	0.875	0.77
"Deccan 974 1055"	"Deccan"	974	1055	7750000	3800000	87500	4.75	0.736357274372474	0.801492389489237	0.757077108527638	0.912202380952381	0.671107574588477
"Finger Lakes 1300 1565"	"Finger Lakes"	1300	1565	45000	73218	1200	3.64639720613096	0.514249163192586	0.799928596746327	0.680299781197258	0.642525218529877	0.58918054618893
"Finger Lakes 1566 1713"	"Finger Lakes"	1566	1713	5500	1e+05	600	2.25	0.0909090909090909	0	0.317099567099567	0	0.333333333333333
"Finger Lakes 1714 1848"	"Finger Lakes"	1714	1848	12000	1e+05	600	2.75	0.0909090909090909	0	0.745670995670996	0.25	0.5
"Galilee -103 -62"	"Galilee"	-103	-62	14965144.9772727	7500	55000	3.89639720613096	0.653668599566892	0.888888888888889	0.881039659265466	0.901922601384768	0.765341614906832
"Galilee -1030 -722"	"Galilee"	-1030	-722	220000	11500	17500	5.14128989361702	0.768771649342919	0.756045301499847	0.851595820661322	0.820785780459214	0.432008281573499
"Galilee -1180 -1031"	"Galilee"	-1180	-1031	35000	9000	50000	5.51628989361702	0.696743868421583	0.777777777777778	0.851595820661322	0.766477876337186	0.765341614906832
"Galilee -200 -104"	"Galilee"	-200	-104	1.6e+07	1387500	75000	5.125	0.768771649342919	0.978679786797868	0.82021053927604	0.913577464788732	0.749296875
"Galilee -2000 -1181"	"Galilee"	-2000	-1181	32500	1700	35000	4.77469632636556	0.6414775043956	0.777777777777778	0.888528138528139	0	0.333333333333333
