"pol"	"place"	"time1"	"time2"	"Polity.Population"	"Polity.territory"	"Population.of.the.largest.settlement"	"scale.of.supracultural.interaction"	"dim1"	"dim2"	"dim3"
"Susiana -539 -331"	"Susiana"	-539	-331	2.6e+07	4e+06	2e+05	2750000	-0.897402934374959	0.630828461732502	0.756195320413589
"Susiana -5700 -5101"	"Susiana"	-5700	-5101	14965144.9772727	1720265.20347003	437.5	6576506.57777778	0.435646294457896	0.151614685367282	-0.600506580671453
"Susiana -6000 -5701"	"Susiana"	-6000	-5701	14965144.9772727	1720265.20347003	437.5	6576506.57777778	0.420621751392986	0.196850739671317	-0.603011359803427
"Susiana -612 -540"	"Susiana"	-612	-540	14965144.9772727	1720265.20347003	170408.662280702	6576506.57777778	-0.871065494749999	0.0479063929442636	0.0532890923982462
"Susiana -7000 -6001"	"Susiana"	-7000	-6001	14965144.9772727	1720265.20347003	437.5	6576506.57777778	0.61415152913664	0.194883560131044	-0.493085224532821
"Susiana -7200 -7001"	"Susiana"	-7200	-7001	14965144.9772727	1720265.20347003	375	6576506.57777778	0.632409766594746	0.308096062901468	-0.620412238626705
"Susiana -743 -647"	"Susiana"	-743	-647	14965144.9772727	320000	170408.662280702	6576506.57777778	-0.902646179896378	0.0121012024324414	0.0836605736443661
"Susiana -7800 -7201"	"Susiana"	-7800	-7201	14965144.9772727	1720265.20347003	375	6576506.57777778	0.674591611489686	0.29832462668125	-0.636058463965566
"Susiana -900 -744"	"Susiana"	-900	-744	14965144.9772727	1720265.20347003	170408.662280702	6576506.57777778	-0.830914042519943	-0.195680505687567	0.132413285739091
"Susiana 1056 1190"	"Susiana"	1056	1190	12100000	4250000	750000	3250000	-0.68942257821288	0.807602714016726	0.888818170428264
"Susiana 1191 1207"	"Susiana"	1191	1207	3900000	750000	1e+06	3500000	-0.449968067380119	0.883330690328691	0.842829344451784
"Susiana 1263 1335"	"Susiana"	1263	1335	5250000	3800000	150000	2.5e+07	-0.633081755864109	0.791487948898646	0.917956536184922
"Susiana 1394 1470"	"Susiana"	1394	1470	4.9e+07	5500000	150000	8500000	-0.49734896850127	0.810798286026928	0.945107148002073
"Susiana 1471 1504"	"Susiana"	1471	1504	14965144.9772727	1800000	170408.662280702	6576506.57777778	-0.652342007751999	0.732411387551767	0.838561956307852
"Susiana 1505 1722"	"Susiana"	1505	1722	9e+06	2700000	2e+05	2700000	-0.581723104539124	0.794367422561041	0.878467054952405
"Susiana 1794 1925"	"Susiana"	1794	1925	8e+06	1600000	140000	6576506.57777778	-0.646899944613403	0.826400304993494	0.812573030877347
"Susiana 220 498"	"Susiana"	220	498	5e+06	2900000	1e+05	3250000	-0.498214161348082	0.783457382799815	0.909283168140535
"Susiana 25 215"	"Susiana"	25	215	14965144.9772727	1720265.20347003	25000	6576506.57777778	-0.740477853259902	0.624222717245105	0.805506244179199
"Susiana 499 642"	"Susiana"	499	642	8900000	3050000	4e+05	3250000	-0.595867758226045	0.84576889671008	0.920331483946184
"Susiana 663 749"	"Susiana"	663	749	2.8e+07	9e+06	3e+05	9e+06	-0.641697395303621	0.846976858506615	0.727643181268419
"Susiana 750 946"	"Susiana"	750	946	2.1e+07	1e+06	3e+05	1.1e+07	-0.541122953853822	0.914151662368037	0.855584856356864
"Susiana 947 1055"	"Susiana"	947	1055	5e+06	9e+05	512500	3250000	-0.600879970167583	0.661502562966044	0.925357231749851
"Upper Egypt -1070 -761"	"Upper Egypt"	-1070	-761	14965144.9772727	210000	1e+05	350000	-0.924272500313687	0.639609045888356	-0.530308557565821
"Upper Egypt -1293 -1071"	"Upper Egypt"	-1293	-1071	2500000	567000	275000	6576506.57777778	-0.923524703843223	0.602958967762057	-0.567699521529655
"Upper Egypt -1550 -1294"	"Upper Egypt"	-1550	-1294	3925000	650000	65000	6576506.57777778	-0.928709179207416	0.596117276528429	-0.629334348956101
"Upper Egypt -1720 -1567"	"Upper Egypt"	-1720	-1567	14965144.9772727	15000	75000	6576506.57777778	-0.9224661704779	0.350533736357032	-0.556709642946845
"Upper Egypt -2016 -1721"	"Upper Egypt"	-2016	-1721	2e+06	238000	30000	6576506.57777778	-0.904853384160453	0.724390758310881	-0.923545367138789
"Upper Egypt -2150 -2017"	"Upper Egypt"	-2150	-2017	14965144.9772727	30000	30000	6576506.57777778	-0.900679286398077	0.678322801452785	-0.93406691082194
"Upper Egypt -217 -32"	"Upper Egypt"	-217	-32	2500000	107000	3e+05	3750000	-0.862796255870485	0.731886729168596	0.466053330961483
"Upper Egypt -2350 -2151"	"Upper Egypt"	-2350	-2151	1500000	187500	40000	6576506.57777778	-0.884910644922622	0.802569035524606	-0.956194928687564
"Upper Egypt -2650 -2351"	"Upper Egypt"	-2650	-2351	1250000	212500	30000	6576506.57777778	-0.8932137870725	0.741515040036949	-0.9510919118676
"Upper Egypt -2900 -2651"	"Upper Egypt"	-2900	-2651	1150000	1e+05	13000	6576506.57777778	-0.543390894867294	0.582770332504539	-0.944153635745489
"Upper Egypt -305 -218"	"Upper Egypt"	-305	-218	7e+06	1e+06	1e+05	3750000	-0.868306054742796	0.706706831170868	0.51926548197616
"Upper Egypt -31 283"	"Upper Egypt"	-31	283	6e+07	4500000	1050000	1.7e+07	-0.731475022892793	0.511387794560178	0.888208376898239
"Upper Egypt -3100 -2901"	"Upper Egypt"	-3100	-2901	1e+06	80000	13000	6576506.57777778	-0.536426877594058	0.5463351371138	-0.95513838638815
"Upper Egypt -3300 -3101"	"Upper Egypt"	-3300	-3101	50000	7500	10000	6576506.57777778	-0.211507243630095	0.350882938331848	-0.919638847215345
"Upper Egypt -3550 -3301"	"Upper Egypt"	-3550	-3301	13000	12500	10000	6576506.57777778	0.166919530388977	0.206696291450632	-0.884421575634808
"Upper Egypt -3800 -3551"	"Upper Egypt"	-3800	-3551	14965144.9772727	3752.5	1025	6576506.57777778	0.702947885173015	0.402329223276325	-0.884494249780327
"Upper Egypt -404 -343"	"Upper Egypt"	-404	-343	2750000	550000	75000	375000	-0.878809863198375	0.4927574706624	0.393339987864052
"Upper Egypt -4400 -3801"	"Upper Egypt"	-4400	-3801	14965144.9772727	1720265.20347003	62.5	6576506.57777778	0.77355996564557	0.448283216971109	-0.919629911384593
"Upper Egypt -525 -405"	"Upper Egypt"	-525	-405	2.6e+07	4e+06	2e+05	2750000	-0.897402934374959	0.630828461732502	0.756195320413589
"Upper Egypt -655 -526"	"Upper Egypt"	-655	-526	2150000	350000	50000	375000	-0.903833019775849	0.448604665806617	-0.0243853701904375
"Upper Egypt -760 -656"	"Upper Egypt"	-760	-656	2750000	650000	65000	2e+05	-0.875812809605765	0.491335155331893	-0.127240916557298
"Upper Egypt 1171 1259"	"Upper Egypt"	1171	1259	9250000	1595000	2e+05	1.1e+07	-0.769925151879435	0.766580095490922	0.809379024449636
"Upper Egypt 1260 1347"	"Upper Egypt"	1260	1347	5500000	2100000	350000	1.1e+07	-0.685979853874	0.893735684688887	0.764727638227702
"Upper Egypt 1348 1411"	"Upper Egypt"	1348	1411	3500000	2100000	250000	1.1e+07	-0.671217850389676	0.899778720556059	0.777279174096705
"Upper Egypt 1412 1516"	"Upper Egypt"	1412	1516	3200000	2100000	275000	1.1e+07	-0.677767973880497	0.902841138999816	0.823619154297758
"Upper Egypt 1517 1682"	"Upper Egypt"	1517	1682	2.8e+07	4836000	675000	4750000	-0.72584777255265	0.892179516362162	0.88819711746389
"Upper Egypt 1683 1798"	"Upper Egypt"	1683	1798	2.4e+07	4710000	570000	6576506.57777778	-0.650903903541119	0.920248096624653	0.80152301707354
"Upper Egypt 284 394"	"Upper Egypt"	284	394	5.5e+07	4250000	8e+05	1.7e+07	-0.672860571471557	0.675751997724499	0.874772224282869
"Upper Egypt 395 632"	"Upper Egypt"	395	632	13750000	1600000	2e+05	13500000	-0.867535443603846	0.708330160458942	0.793262377842615
"Upper Egypt 661 749"	"Upper Egypt"	661	749	2.8e+07	9e+06	3e+05	9e+06	-0.641697395303621	0.846976858506615	0.727643181268419
"Upper Egypt 750 867"	"Upper Egypt"	750	867	2.1e+07	1e+06	3e+05	1.1e+07	-0.541122953853822	0.914151662368037	0.855584856356864
"Upper Egypt 868 969"	"Upper Egypt"	868	969	6500000	9e+05	150000	1.1e+07	-0.576166684396499	0.886598225582695	0.827214335410609
"Upper Egypt 970 1170"	"Upper Egypt"	970	1170	8750000	631000	120000	1.1e+07	-0.749260616175475	0.882543509696891	0.783795109872226
"Valley of Oaxaca -100 199"	"Valley of Oaxaca"	-100	199	45000	20000	14500	6576506.57777778	0.00915382600691672	-0.898115301696114	-0.00606807078761595
"Valley of Oaxaca -1150 -701"	"Valley of Oaxaca"	-1150	-701	14965144.9772727	1720265.20347003	1383.5	6576506.57777778	0.54533014976718	-0.931299668648728	0.213884340785494
"Valley of Oaxaca -1400 -1151"	"Valley of Oaxaca"	-1400	-1151	14965144.9772727	1720265.20347003	205.5	3000	0.716804976832437	-0.926667950610667	0.393935863480951
"Valley of Oaxaca -300 -101"	"Valley of Oaxaca"	-300	-101	55000	5000	17200	6576506.57777778	0.0816644362834347	-0.900399085851045	0.101543482526487
"Valley of Oaxaca -500 -301"	"Valley of Oaxaca"	-500	-301	15000	1300	2000	6576506.57777778	0.458302329810774	-0.903961229820256	0.153487870158292
"Valley of Oaxaca -700 -501"	"Valley of Oaxaca"	-700	-501	1500	275	1000	150	0.321348553575542	-0.930190875034463	0.0624308222903798
"Valley of Oaxaca 1101 1520"	"Valley of Oaxaca"	1101	1520	9481.5	1720265.20347003	7413	6576506.57777778	0.0709917194058229	-0.8108474089187	-0.492962347897198
"Valley of Oaxaca 1516 1808"	"Valley of Oaxaca"	1516	1808	2.9e+07	7100000	224000	6576506.57777778	-0.879819391635225	0.707383952291527	0.537168580060392
"Valley of Oaxaca 200 499"	"Valley of Oaxaca"	200	499	14965144.9772727	11500	22500	6576506.57777778	-0.122112852055493	-0.908688992602858	-0.288092898238226
"Valley of Oaxaca 500 899"	"Valley of Oaxaca"	500	899	8452.5	1720265.20347003	22500	6576506.57777778	-0.202948676868882	-0.92233321248433	-0.223157372366998
"Valley of Oaxaca 900 1100"	"Valley of Oaxaca"	900	1100	9481.5	1720265.20347003	7413	6576506.57777778	0.0709917194058229	-0.8108474089187	-0.492962347897198
"Yemeni Coastal Plain -110 149"	"Yemeni Coastal Plain"	-110	149	14965144.9772727	1720265.20347003	170408.662280702	6576506.57777778	-0.397863610927837	-0.226413439586168	0.642205044571299
"Yemeni Coastal Plain -1200 -801"	"Yemeni Coastal Plain"	-1200	-801	14965144.9772727	1720265.20347003	170408.662280702	6576506.57777778	-0.209391754379887	0.610546157375158	-0.457213648360856
"Yemeni Coastal Plain -3500 -1201"	"Yemeni Coastal Plain"	-3500	-1201	14965144.9772727	1720265.20347003	170408.662280702	6576506.57777778	-0.251868368239748	0.575558160278222	-0.420244614419339
"Yemeni Coastal Plain -450 -111"	"Yemeni Coastal Plain"	-450	-111	14965144.9772727	1720265.20347003	35000	6576506.57777778	-0.376941181002495	-0.307412296441398	0.619240173388718
"Yemeni Coastal Plain -800 -451"	"Yemeni Coastal Plain"	-800	-451	14965144.9772727	1720265.20347003	35000	6576506.57777778	-0.407353479427058	-0.334489898272265	0.646210438880488
"Yemeni Coastal Plain 1454 1517"	"Yemeni Coastal Plain"	1454	1517	14965144.9772727	1720265.20347003	170408.662280702	6576506.57777778	-0.701829526273209	0.863827722790919	0.773503348353
"Yemeni Coastal Plain 1538 1636"	"Yemeni Coastal Plain"	1538	1636	2.4e+07	4710000	570000	6576506.57777778	-0.650903903541119	0.920248096624653	0.80152301707354
"Yemeni Coastal Plain 1637 1805"	"Yemeni Coastal Plain"	1637	1805	14965144.9772727	1720265.20347003	170408.662280702	6576506.57777778	-0.241289510192602	0.674231459539513	0.661108425025499
