"pol"	"place"	"time1"	"time2"	"Polity.Population"	"Polity.territory"	"Population.of.the.largest.settlement"	"scale.of.supracultural.interaction"	"dim1"	"dim2"	"dim3"
"Crete -1450 -1301"	"Crete"	-1450	-1301	65000	5000	10000	6576506.57777778	-0.403439511362334	-0.0389383906978364	-0.228756539116747
"Crete -1700 -1451"	"Crete"	-1700	-1451	14965144.9772727	1720265.20347003	27500	6576506.57777778	-0.499194542586594	-0.0788571961743889	-0.535392423349358
"Crete -1900 -1701"	"Crete"	-1900	-1701	14965144.9772727	1720265.20347003	17100	6576506.57777778	-0.43021177485459	-0.0422869121793525	-0.587646310428197
"Crete -3000 -1901"	"Crete"	-3000	-1901	14965144.9772727	1720265.20347003	6850	6576506.57777778	0.0849496800324904	-0.0877674122403436	-0.401931131366763
"Crete -31 283"	"Crete"	-31	283	6e+07	4500000	1050000	1.7e+07	-0.731475022892793	0.511387794560178	0.888208376898239
"Crete -323 -69"	"Crete"	-323	-69	17500	225	24000	6576506.57777778	-0.607720874563125	0.385351517464677	0.275366526828255
"Crete -500 -322"	"Crete"	-500	-322	17500	225	4000	6576506.57777778	-0.680077424448289	0.345467619759085	0.0723377380189353
"Crete -7000 -3001"	"Crete"	-7000	-3001	14965144.9772727	1720265.20347003	267.5	6576506.57777778	0.806520923016921	0.307129903159675	-0.797087764490865
"Crete -710 -501"	"Crete"	-710	-501	14965144.9772727	167	4000	6576506.57777778	-0.492531330678085	0.117289207445892	0.273213061343444
"Crete 1073 1203"	"Crete"	1073	1203	5500000	575000	250000	22500000	-0.812207698215472	0.477153130410864	0.916305738773163
"Crete 284 394"	"Crete"	284	394	5.5e+07	4250000	8e+05	1.7e+07	-0.672860571471557	0.675751997724499	0.874772224282869
"Crete 395 607"	"Crete"	395	607	13750000	1600000	2e+05	13500000	-0.867535443603846	0.708330160458942	0.793262377842615
"Crete 632 823"	"Crete"	632	823	6250000	1235000	215000	17500000	-0.829474615562898	0.747835443070817	0.909804774863879
"Crete 824 960"	"Crete"	824	960	250000	8336	12000	17500000	-0.66699134271863	0.492389863808902	0.570810637966779
"Crete 961 1072"	"Crete"	961	1072	10750000	520000	1e+05	17500000	-0.843350518184268	0.73444979008537	0.868383650705493
"Cuzco 1 199"	"Cuzco"	1	199	14965144.9772727	1720265.20347003	170408.662280702	6576506.57777778	-0.0395698354858609	-0.764429389830805	-0.122605496861885
"Cuzco 1000 1249"	"Cuzco"	1000	1249	14965144.9772727	600	170408.662280702	6576506.57777778	-0.22097438445707	-0.840274053673256	0.00444359536432448
"Cuzco 1250 1399"	"Cuzco"	1250	1399	14965144.9772727	2550	170408.662280702	6576506.57777778	-0.483274397645164	-0.738432557438854	-0.275396442817076
"Cuzco 1400 1531"	"Cuzco"	1400	1531	1e+07	1250000	60000	6576506.57777778	-0.640058386865127	-0.852847006442514	-0.127752025824245
"Cuzco 1532 1700"	"Cuzco"	1532	1700	2.9e+07	7100000	224000	6576506.57777778	-0.879819391635225	0.707383952291527	0.537168580060392
"Cuzco 200 499"	"Cuzco"	200	499	14965144.9772727	700	170408.662280702	6576506.57777778	0.328172503332972	-0.813617369897842	-0.0359660659062675
"Cuzco 500 649"	"Cuzco"	500	649	14965144.9772727	1000	170408.662280702	6576506.57777778	0.00468984813745021	-0.776626610850592	-0.104624193304792
"Cuzco 650 999"	"Cuzco"	650	999	3e+05	170000	50000	720000	-0.448554394599557	-0.851206161116353	0.133959372608076
"Deccan -100 203"	"Deccan"	-100	203	8250000	1400000	84000	6576506.57777778	-0.744305578728598	0.366116190661589	0.834088305375524
