"","pol","place","time1","time2","Polity.Population","Polity.territory","Population.of.the.largest.settlement","scale.of.supracultural.interaction","PC$scores[, 1]","PC$scores[, 2]","PC$scores[, 3]","PC$scores[, 4]","PC$scores[, 5]"
"59","Crete 395 607","Crete",395,607,13750000,1600000,2e+05,13500000,7.15014828580514,2.3652598107824,-0.752566550266356,-1.27455389795916,-0.543892813831648
"60","Crete 632 823","Crete",632,823,6250000,1235000,215000,17500000,6.79657350815838,1.76259795058783,-0.819905421941008,-1.31351176351318,-0.959867820910098
"61","Crete 824 960","Crete",824,960,250000,8336,12000,17500000,0.757051526035603,-2.02017345812468,0.311739043348447,-1.22535391065617,-2.20708186871775
"62","Crete 961 1072","Crete",961,1072,10750000,520000,1e+05,17500000,7.02003485819344,2.05384151537627,-0.831361282915158,-1.26527272067543,-0.820352581068779
"63","Cuzco 1 199","Cuzco",1,199,14965144.9772727,1720265.20347003,170408.662280702,6576506.57777778,-3.18155427459221,3.01820364020813,0.0179422484309306,0.0987715680172947,0.600506478012459
"64","Cuzco 1000 1249","Cuzco",1000,1249,14965144.9772727,600,170408.662280702,6576506.57777778,-2.62703409504387,2.83168498782179,0.0863904916484662,0.279393138133156,0.264421632542503
"65","Cuzco 1250 1399","Cuzco",1250,1399,14965144.9772727,2550,170408.662280702,6576506.57777778,-3.25834078877971,1.60546050448422,0.0923066212777476,0.764048355170324,0.0958975507153786
"66","Cuzco 1400 1531","Cuzco",1400,1531,1e+07,1250000,60000,6576506.57777778,0.777624834066227,0.959158993523474,1.20602564384195,-2.81243824854872,1.30504959117577
"67","Cuzco 1532 1700","Cuzco",1532,1700,2.9e+07,7100000,224000,6576506.57777778,8.55008978522505,6.36001071437173,-2.09553711828037,-2.36605658654679,-0.47965890880219
"68","Cuzco 200 499","Cuzco",200,499,14965144.9772727,700,170408.662280702,6576506.57777778,-3.44689490701381,3.13135929086396,0.134337777531677,0.0339641794809117,0.843860972114907
"69","Cuzco 500 649","Cuzco",500,649,14965144.9772727,1000,170408.662280702,6576506.57777778,-3.21549001858573,3.04428741409626,0.0265251647730128,0.094204662761419,0.651782009744823
"70","Cuzco 650 999","Cuzco",650,999,3e+05,170000,50000,720000,-1.41332336123458,-0.886684164002777,1.26436958297312,-2.94899935755982,0.870230644622734
"71","Deccan -100 203","Deccan",-100,203,8250000,1400000,84000,6576506.57777778,1.2579488269067,-2.43467181330847,1.58271329418181,0.911329070537048,-0.598985604850479
"72","Deccan -1200 -301","Deccan",-1200,-301,12750,1720265.20347003,5250,6576506.57777778,-5.3356318854759,-1.49836704368991,-1.25151810985998,2.08120207172683,-1.85341310740452
"73","Deccan -205 -101","Deccan",-205,-101,14965144.9772727,1720265.20347003,170408.662280702,6576506.57777778,-1.47473649782179,1.17878883330546,-1.42943351842977,2.2467969584353,-1.22922759908988
"74","Deccan -2700 -1201","Deccan",-2700,-1201,14965144.9772727,1720265.20347003,170408.662280702,6576506.57777778,-3.60013649772861,2.7225780522844,-0.428115201664491,0.793222839626273,0.222362926638374
"75","Deccan -300 -206","Deccan",-300,-206,1.8e+07,4e+06,50000,1700000,3.9344273692533,-0.331826421415034,1.29593106622687,0.910852777910536,-0.24612686867849
"76","Deccan 1192 1253","Deccan",1192,1253,14965144.9772727,150000,170408.662280702,6576506.57777778,0.166378217020391,-2.91972813075797,-0.239652035118745,0.591747228610709,0.28609571784599
"77","Deccan 1280 1310","Deccan",1280,1310,14965144.9772727,20000,170408.662280702,6576506.57777778,-0.263269068928857,-2.79188172794824,0.189344360156173,0.0434629269675292,-0.708516859877738
"78","Deccan 1337 1646","Deccan",1337,1646,2.5e+07,360000,175000,6576506.57777778,1.1394419287225,-1.75278503090753,1.3728883079549,2.33080761487734,-0.747355123200018
"79","Deccan 1687 1720","Deccan",1687,1720,1.3e+08,3850000,4e+05,6576506.57777778,3.35084257644208,-1.69917309563868,2.05508430106408,2.15913232875475,0.392576385715432
"80","Deccan 1780 1840","Deccan",1780,1840,107500000,22700000,3700000,6576506.57777778,6.39242701293027,4.14511728734847,1.07779584105297,2.93499140105923,1.37371664269574
"81","Deccan 286 335","Deccan",286,335,6500000,950000,170408.662280702,6576506.57777778,1.93788276213047,-2.02542595667414,0.612502989228953,0.454364549542755,0.162973235176461
"82","Deccan 451 540","Deccan",451,540,725000,75000,170408.662280702,6576506.57777778,1.87475519228722,-2.08450542943152,1.78297605266952,1.2490101561743,-0.438637661666914
"83","Deccan 541 756","Deccan",541,756,3525000,750000,70000,6576506.57777778,3.06549337621894,-0.0926825394116579,0.446674397448853,-0.759602661154189,-1.69198338624348
"84","Deccan 757 973","Deccan",757,973,5500000,6e+05,1e+05,6576506.57777778,1.7335197724919,1.24885095681865,-0.391850136222807,0.853028865043396,-2.74685229556174
"85","Deccan 974 1055","Deccan",974,1055,7750000,3800000,87500,6576506.57777778,1.33048376506652,1.41365609011711,-0.303094200156028,1.09395442289937,-2.1301283359889
"86","Finger Lakes 1300 1565","Finger Lakes",1300,1565,45000,73218,1200,6576506.57777778,-1.10869458337369,0.374331224257816,0.207963675461366,-0.529453352092395,0.235189738550501
"87","Finger Lakes 1566 1713","Finger Lakes",1566,1713,5500,1e+05,600,6576506.57777778,-4.86082921025743,-0.946954304693783,1.17128644234631,0.936245364579187,0.39509474169815
"88","Finger Lakes 1714 1848","Finger Lakes",1714,1848,12000,1e+05,600,6576506.57777778,-4.16908840082935,-0.7874002095797,-0.0703291153877166,0.243795101361979,0.364660451331063
"89","Galilee -103 -62","Galilee",-103,-62,14965144.9772727,7500,55000,1e+05,0.95092272878983,-1.88365673887977,-2.58540855689485,0.471357802122976,0.67286550033779
"90","Galilee -1030 -722","Galilee",-1030,-722,220000,11500,17500,15000,2.41989403759674,-0.528641785912134,-1.78026271201314,0.121371728673866,3.04097893821459
"91","Galilee -1180 -1031","Galilee",-1180,-1031,35000,9000,50000,24000,0.936188200395715,2.55373158358259,-4.39569688379407,0.174377349133506,-0.234496809257839
"92","Galilee -200 -104","Galilee",-200,-104,1.6e+07,1387500,75000,4750000,3.39132213080981,-1.53625578420803,-0.805340262914016,-0.519428620180869,-0.106811060168935
"93","Galilee -2000 -1181","Galilee",-2000,-1181,32500,1700,35000,3e+05,-0.712363315167985,1.65516440542491,-3.00327509159001,0.861562441518713,1.26206136399606
"94","Galilee -300 -199","Galilee",-300,-199,7e+06,1e+06,1e+05,3750000,4.66941917619307,0.0613689679848097,2.35841803938487,1.95147447305521,1.61582012037022
