"pol"	"place"	"time1"	"time2"	"Polity.Population"	"Polity.territory"	"Population.of.the.largest.settlement"	"scale.of.supracultural.interaction"	"ML11"	"ML6"	"ML1"	"ML4"	"ML2"	"ML3"	"ML7"	"ML5"	"ML9"	"ML12"	"ML8"	"ML10"
"Crete -3000 -1901"	"Crete"	-3000	-1901	14965144.9772727	1720265.20347003	6850	6576506.57777778	-1.07341081061417	-0.896998171136844	-1.66655009577838	0.469658952446702	0.204451266207295	0.243700368095498	-0.894907002784802	-0.608634770957721	-0.331839714107338	0.405581502700554	-0.2842176271564	0.338834148408179
"Crete -31 283"	"Crete"	-31	283	6e+07	4500000	1050000	1.7e+07	0.907838438133429	1.02936069183968	0.868249605700526	0.955074668365681	0.272355729662642	0.0265660456297588	-0.503725618201766	0.768149503189283	-0.672566302603556	-6.06926157968196	-0.89091124124471	0.0768164291616099
"Crete -323 -69"	"Crete"	-323	-69	17500	225	24000	6576506.57777778	0.529974167800534	0.0250956161347636	0.501155095210946	-0.23898954774787	-0.416872693829856	0.0514402081502417	-0.500126237577481	-1.67378678637074	1.11814371777884	0.0779827449375936	-0.0981360179479301	0.879058938846254
"Crete -500 -322"	"Crete"	-500	-322	17500	225	4000	6576506.57777778	0.0183412691575244	0.0137370614757255	0.108854126252129	-0.141324601900267	-0.320209266638922	0.0698914032141979	-0.272725342372802	-2.00630498932277	1.69227944698613	0.0417919757341337	-0.133451263928926	0.799342097929455
"Crete -7000 -3001"	"Crete"	-7000	-3001	14965144.9772727	1720265.20347003	267.5	6576506.57777778	-1.89545461298144	-1.22915584644473	-1.16919117472522	-1.12850006678683	0.431240861611315	0.443345306390431	-0.463082734430214	0.1147436521004	-1.22447822698074	-0.421114508906338	-1.19317177767754	-0.192217260784793
"Crete -710 -501"	"Crete"	-710	-501	14965144.9772727	167	4000	6576506.57777778	-0.177024539525677	-0.130650198784428	-2.153447616902	0.166849412301862	-0.612221637333006	0.411400911337838	-0.444135161775834	-1.81264508408815	4.18650132920315	-1.71844453286944	0.641897519473182	0.979959992426854
"Crete 1073 1203"	"Crete"	1073	1203	5500000	575000	250000	22500000	1.37513976683059	1.05449533780097	0.531081574472861	0.373594248704003	-0.588570680805969	-0.118213803376846	0.03175242155506	-0.157814319795563	0.253774103970848	0.508141096965753	0.262275318765267	0.593505744923276
"Crete 284 394"	"Crete"	284	394	5.5e+07	4250000	8e+05	1.7e+07	0.937737208153448	0.981714040167169	0.827169288981039	0.482945231663138	0.293101880989652	0.174842968692799	-0.378175284434619	1.97975239530374	-0.307823505750541	-1.55954502037185	-0.707006515674017	0.414062947504276
"Crete 395 607"	"Crete"	395	607	13750000	1600000	2e+05	13500000	1.07680366513416	1.10449226709083	0.533997120661039	0.714876233204338	-0.0635821298049348	0.813720256635818	-0.334814447168263	-0.700252812823981	0.307939301500306	0.718765078024771	0.0893963817816932	1.29077744613865
"Crete 632 823"	"Crete"	632	823	6250000	1235000	215000	17500000	1.29207060805591	0.943428208035083	0.567478194262919	0.605178872356762	-0.0677340161508	0.792450089254251	-0.269017263284405	-0.724454777868006	0.246648565987126	0.725303597942751	0.1049540405262	1.2185259608553
"Crete 824 960"	"Crete"	824	960	250000	8336	12000	17500000	0.706011023747993	0.301625400558802	0.714374375088062	0.3266662494529	-0.310480175329318	0.0405200902642033	-0.593863041934864	-0.361818889318693	0.359390972207827	0.641983113912051	-0.255340738022255	0.558331225998595
"Crete 961 1072"	"Crete"	961	1072	10750000	520000	1e+05	17500000	1.24096614934165	0.963578953181958	0.562129621902542	0.680250708666757	-0.0857864837923191	0.816947822545814	-0.278852749400406	-1.01135358601943	0.265693604863872	0.61841647345233	-0.0166385507751513	1.30361248825927
"Cuzco 1 199"	"Cuzco"	1	199	14965144.9772727	1720265.20347003	170408.662280702	6576506.57777778	-0.997276043735535	-0.479295979601811	-1.68775346453786	0.120186241966793	-2.28236440715443	-1.11492071285552	-0.433165039997574	-0.113326431526918	-0.579084812770969	0.184179916375212	-0.160197619932598	-0.637474078388026
