"pol"	"place"	"time1"	"time2"	"Scale_agg"	"HComplex_agg"	"Gov_agg"	"Law_agg"	"Infrastr_agg"	"Money_agg"	"Info_agg"	"MilTech_agg"	"Norms_agg"	"MoralGods_agg"
"Big Island Hawaii 1778 1819"	"Big Island Hawaii"	1778	1819	102069.554093567	3.125	0.571428571428571	0	0.731713983077167	0.333333333333333	0.193376302465193	0.348963826976441	0.38153435349697	0.1
"Cahokia -150 299"	"Cahokia"	-150	299	5561816.72691424	2.63010731251393	0	0	0.111111111111111	0.403463541666667	0.115362984978191	0.113536057930792	0.98153435349697	0
"Cahokia -600 -151"	"Cahokia"	-600	-151	5561816.72691424	2.50510731251393	0	0	0.111111111111111	0.403463541666667	0.115362984978191	0.048753231677574	0.98153435349697	0
"Cahokia 1050 1199"	"Cahokia"	1050	1199	20000	3.25	0.53710407287544	0.453875026459877	0.333333333333333	0.27	0.160977020065911	0.127150980188927	0.389010989010989	0
"Cahokia 1200 1274"	"Cahokia"	1200	1274	20000	3.25	0.53710407287544	0.453875026459877	0.333333333333333	0.27	0.160977020065911	0.127150980188927	0.389010989010989	0
"Cahokia 1275 1399"	"Cahokia"	1275	1399	6750	2.75	0.419619241104894	0.453875026459877	0.333333333333333	0.27	0.160977020065911	0.127150980188927	0.668801845292891	0
"Cahokia 1400 1639"	"Cahokia"	1400	1639	4990448.32575757	1.5	0.458807414818877	0	0.297016861219196	0.398805156573499	0.206299653623838	0.367301259232089	0.668801845292891	0
"Cahokia 1640 1717"	"Cahokia"	1640	1717	8433.33333333333	1.75	0.634669994948751	0	0.45700844588574	0.58918054618893	0.64345117695087	0.164380602656874	0.98153435349697	0
"Cahokia 300 449"	"Cahokia"	300	449	5561816.72691424	2.63010731251393	0	0	0.111111111111111	0.403463541666667	0.115362984978191	0.0591536123451017	0.78153435349697	0
"Cahokia 450 599"	"Cahokia"	450	599	5561816.72691424	2.63010731251393	0	0	0.111111111111111	0.403463541666667	0.115362984978191	0.0591536123451017	0.78153435349697	0
"Cahokia 600 749"	"Cahokia"	600	749	5561816.72691424	2.75510731251393	0	0	0.111111111111111	0.403463541666667	0.115362984978191	0.147989312166146	0.98153435349697	0
"Cahokia 750 899"	"Cahokia"	750	899	350	2.75840643274854	0	0	0.111111111111111	0.403463541666667	0.115362984978191	0.169704171678289	0.989010989010989	0
"Cahokia 900 1049"	"Cahokia"	900	1049	350	2.75840643274854	0.335253456221198	0.453875026459877	0.333333333333333	0.333333333333333	0.174186514389956	0.169704171678289	0.989010989010989	0
"Cambodian Basin -1200 -500"	"Cambodian Basin"	-1200	-500	5561853.39358091	3.39639720613096	0.596192712918461	0.553512707619297	0.779759913211307	0.58918054618893	0.628243751946886	0.50385692863389	0.668801845292891	0.705725125879477
"Cambodian Basin -500 -224"	"Cambodian Basin"	-500	-224	5561853.39358091	3.64639720613096	0.596192712918461	0.553512707619297	0.779759913211307	0.58918054618893	0.628243751946886	0.554324999728181	0.668801845292891	0.705725125879477
"Cambodian Basin 1080 1219"	"Cambodian Basin"	1080	1219	1104748.33333333	5.25	0.714285714285714	1	1	0.333333333333333	0.895276292335116	0.606550072407263	1	0.7
"Cambodian Basin 1220 1431"	"Cambodian Basin"	1220	1431	1125000	5.25	0.675808432255424	1	1	0.5	0.836452762923351	0.586398643514949	0.389010989010989	0.7
"Cambodian Basin 1432 1593"	"Cambodian Basin"	1432	1593	441802.887426901	6.625	0.675808432255424	1	1	0.5	0.833369271462251	0.595744680851064	0.389010989010989	0.7
"Cambodian Basin 1594 1767"	"Cambodian Basin"	1594	1767	5613470.06024758	5.5	0.285714285714286	1	0.868720205353869	0.666666666666667	0.852351866294962	0.658801303856501	0.6	0.7
"Cambodian Basin 1782 1873"	"Cambodian Basin"	1782	1873	1196040	5.25	0.285714285714286	1	0.97983131646498	0.666666666666667	0.902193602601279	0.615410160987171	0.6	0.7
"Cambodian Basin 225 539"	"Cambodian Basin"	225	539	5074726.32575757	2.5	0.531609195402299	0.84963768115942	0.868720205353869	0.5	0.831110036229603	0.563814860602826	0.4	0.705725125879477
"Cambodian Basin 540 639"	"Cambodian Basin"	540	639	143733.333333333	2.75	0.390094146541138	0.84963768115942	0.888888888888889	0.666666666666667	0.831110036229603	0.573361251068915	0.4	0.2
"Cambodian Basin 640 801"	"Cambodian Basin"	640	801	5185381.6590909	3.875	0.636533507784125	0.84963768115942	0.867568675686757	0.421810699588477	0.831110036229603	0.563814860602826	0.4	0.532257573179033
"Cambodian Basin 802 1079"	"Cambodian Basin"	802	1079	5393997.32575757	5	0.714285714285714	1	1	0.5	0.777629233511586	0.574468085106383	0.4	0.7
"Central Java -400 499"	"Central Java"	-400	499	5618606.28100781	3.52139720613096	0.596192712918461	0.553512707619297	0.801492389489237	0.58918054618893	0.643132089415869	0.562134619934496	0.668801845292891	0
"Central Java 1049 1222"	"Central Java"	1049	1222	168469.554093567	3.875	0.750719913848933	0.746930674789994	0.824429584675325	0.671107574588477	0.698776440421581	0.649805695632992	0.392523364485981	0.8
"Central Java 1291 1518"	"Central Java"	1291	1518	1883333.33333333	3.875	0.789197195879224	1	0.947478794358199	0.615833333333333	0.721006262583004	0.644393162587958	0.592523364485981	0.8
"Central Java 1568 1703"	"Central Java"	1568	1703	1173469.55409357	3.375	0.789197195879224	1	0.910589264960555	0.593838931282098	0.700839014699953	0.693706916936557	1	1
"Central Java 500 731"	"Central Java"	500	731	5618606.28100781	2.88340643274854	0.627036868762617	0.553512707619297	0.853928649338746	0.671107574588477	0.654150390389775	0.619059073428637	0.668801845292891	0.738090520376042
"Central Java 732 1019"	"Central Java"	732	1019	142000	2.875	0.789197195879224	0.746930674789994	0.8964128837049	0.658607574588477	0.718891382950317	0.676760815296021	0.392523364485981	0.8
"Crete -1000 -711"	"Crete"	-1000	-711	5563803.39358091	3.64639720613096	0.596192712918461	0.453875026459877	0.923432186980959	0.666666666666667	0.318872562366621	0.520505757503807	0.4	0.705725125879477
"Crete -1200 -1001"	"Crete"	-1200	-1001	5562136.72691424	3.39639720613096	0.596192712918461	0	0.7155471402221	0.466796875	0.150244862257405	0.541506050633052	0.482994207511569	0.705725125879477
"Crete -1300 -1201"	"Crete"	-1300	-1201	5562136.72691424	4.00510731251393	0.749922271407924	0	0.756045301499847	0.466796875	0.353740594086351	0.528458265472142	0.482994207511569	0.705725125879477
"Crete -1450 -1301"	"Crete"	-1450	-1301	26666.6666666667	4.125	0.749922271407924	0	0.756045301499847	0.5	0.35065710262525	0.538886409715539	0.38153435349697	0.705725125879477
"Crete -1700 -1451"	"Crete"	-1700	-1451	5570970.06024758	4.13010731251393	0.70533352681918	0	0.832403733239731	0.588477366255144	0.412088378583909	0.49434239948304	0.38153435349697	0.705725125879477
"Crete -1900 -1701"	"Crete"	-1900	-1701	5567503.39358091	3.50510731251393	0.674489370975024	0	0.693392383598674	0.5	0.412088378583909	0.477648909570207	0.38153435349697	0.705725125879477
"Crete -3000 -1901"	"Crete"	-3000	-1901	5564086.72691424	2.38340643274854	0.559758513355242	0	0.491338844911472	0.5	0.115362984978191	0.479389211596816	0.668801845292891	0.705725125879477
"Crete -31 283"	"Crete"	-31	283	21850000	7.125	0.714285714285714	0.5	1	0.833333333333333	0.929052537045353	0.794475550578574	0.589010989010989	0.761875
"Crete -323 -69"	"Crete"	-323	-69	13908.3333333333	4.5	0.789197195879224	0.75	0.777777777777778	0.812630208333333	0.765505299968704	0.60093596559359	0.4	0.705725125879477
"Crete -500 -322"	"Crete"	-500	-322	7241.66666666667	4.5	0.789197195879224	0.75	0.757609094242758	0.833333333333333	0.706681770556939	0.541782353248488	0.4	0.705725125879477
"Crete -7000 -3001"	"Crete"	-7000	-3001	5561892.56024758	2.13340643274854	0	0	0.555101175003796	0.398805156573499	0.115362984978191	0.205586329703406	0.668801845292891	0.705725125879477
"Crete -710 -501"	"Crete"	-710	-501	4989770.6590909	4.5	0.789197195879224	0.75	0.868720205353869	0.666666666666667	0.412564123498115	0.520505757503807	0	0.705725125879477
"Crete 1073 1203"	"Crete"	1073	1203	2108333.33333333	7.5	1	1	1	0.833333333333333	0.823529411764706	0.825359734350018	0.679790856281902	0.705725125879477
"Crete 284 394"	"Crete"	284	394	20016666.6666667	6.875	0.714285714285714	1	1	0.666666666666667	0.929052537045353	0.725100115462177	0.8	0.891078539823009
"Crete 395 607"	"Crete"	395	607	5183333.33333333	7.5	0.857142857142857	1	1	0.833333333333333	0.895276292335116	0.825359734350018	0.49398321850058	1
"Crete 632 823"	"Crete"	632	823	2566666.66666667	7.25	0.857142857142857	1	1	0.666666666666667	0.823529411764706	0.846636330094699	0.49398321850058	1
"Crete 824 960"	"Crete"	824	960	90112	3.75	0.750719913848933	0.84963768115942	0.888888888888889	0.833333333333333	0.762421808507603	0.736790210934579	0.668801845292891	0.705725125879477
"Crete 961 1072"	"Crete"	961	1072	3790000	7.375	0.857142857142857	1	1	0.77	0.823529411764706	0.846636330094699	0.392523364485981	1
"Cuzco 1 199"	"Cuzco"	1	199	5618606.28100781	3.89639720613096	0.596192712918461	0.38031993653496	0.610631953914391	0.398805156573499	0.193376302465193	0.400912947632068	0.668801845292891	0
"Cuzco 1000 1249"	"Cuzco"	1000	1249	5045384.5465178	4.14639720613096	0.493154946087591	0.38031993653496	0.688034310354726	0.398805156573499	0.0909366686456469	0.492942521894315	0.49398321850058	0
"Cuzco 1250 1399"	"Cuzco"	1250	1399	5046034.5465178	3.5	0.708813869528155	0.63031993653496	0.831252203572619	0.398805156573499	0.206299653623838	0.514219117638996	0.49398321850058	0
"Cuzco 1400 1531"	"Cuzco"	1400	1531	3770000	5	0.857142857142857	0.25	0.888888888888889	0.333333333333333	0.235294117647059	0.575486705826104	0.4	0
"Cuzco 1532 1700"	"Cuzco"	1532	1700	12108000	9	0.857142857142857	1	1	0.77	0.929052537045353	0.798018746241464	0.589010989010989	1
"Cuzco 200 499"	"Cuzco"	200	499	5045417.87985113	3.89639720613096	0	0.38031993653496	0.5196895263383	0.398805156573499	0.193376302465193	0.400912947632068	0.668801845292891	0
"Cuzco 500 649"	"Cuzco"	500	649	5045517.87985113	3.89639720613096	0.596192712918461	0.38031993653496	0.5196895263383	0.398805156573499	0.193376302465193	0.400912947632068	0.668801845292891	0
"Cuzco 650 999"	"Cuzco"	650	999	173333.333333333	3.7467008797654	0.71090053782266	0.38031993653496	0.741708126036484	0.166666666666667	0.196459793926294	0.546331126889053	0.668801845292891	0
"Deccan -100 203"	"Deccan"	-100	203	3244666.66666667	3.75	0.789197195879224	0.63031993653496	0.895261354037788	0.749296875	0.783774413598756	0.73618571682413	0.38153435349697	0.8
"Deccan -1200 -301"	"Deccan"	-1200	-301	579421.73449001	1.375	0.596192712918461	0.553512707619297	0.848841170508024	0.58918054618893	0.537307083301239	0.677952103353565	0.38153435349697	0.630032818187169
